Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1325619240,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619420,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619540,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619660,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619720,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619780,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620080,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620140,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620260,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620380,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620440,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620560,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620740,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620860,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620920,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325620980,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621340,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621580,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621820,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325621940,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622060,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622240,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622420,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622540,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622660,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622720,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622780,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325622960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325623020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
